year,scope,model,n,actual_rate,mean_pred,brier,log_loss,ece10,auc,brier_ci_low,brier_ci_high,logloss_ci_low,logloss_ci_high
2024,p>=0.80,M3_team_style,1588,0.5881612090680101,0.5971588911083606,0.2317082314688347,0.6553909473073543,0.017046817017047064,0.623694412248132,,,,
2024,p>=0.80,M4_player,1588,0.5881612090680101,0.598011953686229,0.23252162766921386,0.6572195507352725,0.015475287031435244,0.6200813311592637,,,,
2024,p>=0.80,M5_combined,1588,0.5881612090680101,0.5950345413740012,0.23089377894586552,0.6534443621592305,0.009945937579008754,0.6276152682553091,,,,
2024,p>=0.90,M0_iid,706,0.6940509915014165,0.5253434446005546,0.24169501737031326,0.6758715926352958,0.16870754690086193,0.5408919123204837,,,,
2024,p>=0.90,M1_p_only,706,0.6940509915014165,0.6905323290050371,0.21205270970492318,0.615112665937091,0.019111219484637426,0.5408919123204837,,,,
2024,p>=0.90,M2_team_shape,706,0.6940509915014165,0.6889603903944871,0.21087674593504613,0.6119291332484114,0.01876251461063742,0.5556311413454271,,,,
2024,p>=0.90,M3_team_style,706,0.6940509915014165,0.6870501487288012,0.2107325139378421,0.6119764778303458,0.020042050306469928,0.560222978080121,,,,
2024,p>=0.90,M4_player,706,0.6940509915014165,0.6887675023974262,0.21134920896733056,0.613605818761195,0.02918082417843041,0.5562736205593348,,,,
2024,p>=0.90,M5_combined,706,0.6940509915014165,0.6865035078767099,0.20932674243052848,0.608370095220572,0.017473319154585037,0.5751039304610733,,,,
2025,all,M0_iid,3825,0.4020915032679739,0.3260360842746629,0.21536569317222465,0.6230205770044662,0.07605541899331093,0.7023036294360104,0.000516394806112045,0.008076795437093104,0.0025664481321962447,0.019581400864950825
2025,all,M1_p_only,3825,0.4020915032679739,0.437167499949015,0.21091731243886588,0.6115861265468836,0.0377382956083816,0.7023036294360104,,,,
2025,all,M2_team_shape,3825,0.4020915032679739,0.4343566835103289,0.21057583768450516,0.6110100745839667,0.03852575110069305,0.7026951111131328,-0.0012998682782596604,0.0005794754709403638,-0.0027317584139012864,0.001425076863147226
2025,all,M3_team_style,3825,0.4020915032679739,0.4342592518495158,0.21200038156561984,0.6143284331015076,0.04071043944336295,0.698230173030921,0.0003131648547221963,0.0018636743878777408,0.0008912080223321573,0.004492962433905372
2025,all,M4_player,3825,0.4020915032679739,0.434828120137751,0.21111697764309384,0.6119718384079875,0.03434148508099446,0.7013327435047305,-0.00029384883125474975,0.0007318851181234446,-0.0007098947058852112,0.0016019307061090418
2025,all,M5_combined,3825,0.4020915032679739,0.4318015344019376,0.21168470015604948,0.613573768021144,0.03937820514214724,0.6987396393819763,-0.000497123767145552,0.0019843824827243486,-0.0008272707202815338,0.004728402147787718
2025,p>=0.70,M0_iid,2468,0.4991896272285251,0.41067325218080497,0.23525762493585237,0.6634238690860099,0.08851637504772011,0.6708577627873744,,,,
2025,p>=0.70,M1_p_only,2468,0.4991896272285251,0.5406264492091526,0.2289373533881218,0.6494587617550448,0.045099935997053545,0.6708577627873744,,,,
2025,p>=0.70,M2_team_shape,2468,0.4991896272285251,0.5370539893288743,0.22826089246051234,0.6481157215077094,0.03898000820105326,0.673020951540369,,,,
2025,p>=0.70,M3_team_style,2468,0.4991896272285251,0.5367966420982417,0.2303521190694307,0.6528828988681334,0.04055158098191191,0.6648429947883832,,,,
2025,p>=0.70,M4_player,2468,0.4991896272285251,0.5375831665953447,0.22917082167447156,0.6499553040470544,0.040833762198506436,0.6696802893708234,,,,
2025,p>=0.70,M5_combined,2468,0.4991896272285251,0.5336344581172361,0.22974039779100738,0.6515232279696083,0.042593163589513386,0.667398893582146,,,,
2025,p>=0.80,M0_iid,1779,0.5654862282181,0.46665716643791155,0.2393381594667018,0.671114996566833,0.09882906178018842,0.6474053479896815,,,,
2025,p>=0.80,M1_p_only,1779,0.5654862282181,0.6035591347904049,0.23094940535576391,0.6531766863578923,0.04315473085141641,0.6474053479896815,,,,
2025,p>=0.80,M2_team_shape,1779,0.5654862282181,0.5998202060571801,0.23029567263182088,0.6519265075559706,0.03458547414127584,0.649622317839406,,,,
